year,profit_per_gambler,visits_per_gambler,ruin_events_per_gambler,active_share_year_end
1,1499.9446,4.20668,0.250305,0.958159
2,1460.2894,3.86050,0.219504,0.934904
3,1428.6011,3.80469,0.182956,0.924249
4,1415.2351,3.77420,0.167544,0.918274
5,1405.5938,3.74805,0.158381,0.914232
6,1399.6170,3.73480,0.152970,0.911067
7,1392.7146,3.71848,0.146391,0.908253
8,1387.6241,3.70561,0.142021,0.905423
9,1381.6146,3.69074,0.136042,0.903277
10,1375.1729,3.67883,0.131574,0.901079
11,1372.6425,3.66986,0.128383,0.898774
12,1367.0899,3.65829,0.124486,0.896760
13,1362.4064,3.64794,0.121771,0.894646
14,1357.0901,3.63445,0.117047,0.892940
15,1354.2587,3.63014,0.114150,0.890944
16,1350.2057,3.61943,0.109623,0.889105
17,1346.1151,3.60806,0.107150,0.887460
18,1342.5613,3.60163,0.103811,0.885598
19,1338.5265,3.59092,0.100457,0.883793
20,1333.7268,3.58297,0.097747,0.882563
21,1331.3885,3.57448,0.095103,0.880963
22,1327.6481,3.56594,0.092492,0.879650
23,1325.8421,3.56236,0.090048,0.878360
24,1321.2744,3.55406,0.087245,0.876933
25,1319.2364,3.54656,0.085589,0.875435
26,1315.3191,3.53803,0.082871,0.874320
27,1313.5409,3.53354,0.080755,0.873027
28,1309.5348,3.52706,0.078826,0.871655
29,1307.1715,3.51994,0.076321,0.870832
30,1304.8498,3.51472,0.074247,0.869415
31,1300.5764,3.50744,0.072272,0.868285
32,1300.5988,3.50273,0.070012,0.867316
33,1296.8648,3.49535,0.068878,0.866273
34,1294.6907,3.49222,0.067086,0.865222
35,1292.3757,3.48703,0.064881,0.864192
36,1289.3292,3.48050,0.063106,0.863490
37,1288.3601,3.47833,0.061665,0.862273
38,1285.0442,3.47196,0.059596,0.861373
39,1283.0211,3.46448,0.058152,0.860438
40,1280.6986,3.46147,0.057022,0.859628
41,1278.6511,3.45646,0.055889,0.858636
42,1276.4905,3.45184,0.053761,0.857938
43,1275.1777,3.44705,0.052945,0.857378
44,1274.8171,3.44613,0.052329,0.856710
45,1272.4380,3.44130,0.050925,0.855830
46,1269.4852,3.43628,0.049943,0.854991
47,1267.4358,3.43111,0.048418,0.854275
48,1266.1254,3.42961,0.046629,0.853564
49,1265.3776,3.42763,0.046545,0.852855
50,1263.3079,3.42174,0.044719,0.852140
51,1260.7862,3.41714,0.043777,0.851530
52,1258.8835,3.41244,0.042997,0.850777
53,1258.0710,3.41125,0.041594,0.850204
54,1256.9580,3.40789,0.040476,0.849650
55,1255.0650,3.40367,0.039210,0.849143
56,1253.1878,3.40059,0.038761,0.848376
57,1253.8513,3.40054,0.037503,0.847994
58,1252.2552,3.39722,0.036852,0.847281
59,1250.6239,3.39228,0.035723,0.846736
60,1248.7870,3.38932,0.035469,0.846200
61,1247.0148,3.38784,0.034562,0.845777
62,1244.5842,3.38416,0.033628,0.845022
63,1243.4639,3.37841,0.032779,0.844476
64,1242.4982,3.37711,0.032533,0.844106
65,1241.6670,3.37424,0.031453,0.843676
66,1239.2984,3.37008,0.031354,0.843061
67,1239.3836,3.36983,0.030233,0.842485
68,1237.8602,3.36604,0.029276,0.841983
69,1235.4924,3.36201,0.028646,0.841518
70,1236.3496,3.36359,0.028223,0.841361
71,1234.7087,3.36178,0.027396,0.840922
72,1234.1572,3.35893,0.027179,0.840313
73,1230.8295,3.35433,0.026005,0.839942
74,1230.6859,3.35168,0.025891,0.839513
75,1229.1329,3.34961,0.025617,0.839039
76,1228.6428,3.34663,0.024544,0.838658
77,1228.8181,3.34816,0.024332,0.838236
78,1226.5496,3.34369,0.023910,0.837790
79,1227.1524,3.34367,0.022906,0.837560
80,1224.6343,3.34127,0.022885,0.837225
81,1223.5506,3.33744,0.022510,0.836748
82,1223.2909,3.33503,0.021609,0.836445
83,1222.8148,3.33573,0.021269,0.836106
84,1222.2817,3.33296,0.021025,0.835762
85,1219.7555,3.32942,0.020640,0.835414
86,1220.9905,3.33135,0.019995,0.835101
87,1218.5569,3.32642,0.019721,0.834844
88,1218.1424,3.32646,0.019364,0.834572
89,1217.3595,3.32430,0.019127,0.834215
90,1217.2471,3.32405,0.018848,0.833945
91,1215.3561,3.31899,0.018813,0.833602
92,1216.4480,3.32129,0.017825,0.833267
93,1214.4145,3.31935,0.017389,0.832932
94,1213.4835,3.31597,0.017416,0.832611
95,1213.1528,3.31686,0.016722,0.832419
96,1213.1778,3.31587,0.016744,0.832006
97,1211.1845,3.31235,0.016227,0.831786
98,1210.2790,3.31078,0.015916,0.831444
99,1209.5223,3.30731,0.015735,0.831182
100,1209.1000,3.30624,0.015310,0.830870
101,1208.0151,3.30344,0.015225,0.830624
102,1208.6829,3.30376,0.015159,0.830437
103,1206.2752,3.30208,0.014774,0.830149
104,1206.8403,3.30127,0.014144,0.829900
105,1204.9417,3.29891,0.013829,0.829693
106,1205.2152,3.29911,0.013604,0.829340
107,1203.5866,3.29577,0.013708,0.829155
108,1203.9556,3.29608,0.013282,0.828871
109,1202.9878,3.29383,0.012984,0.828656
110,1202.1831,3.29368,0.012860,0.828348
