house_edge,comp_rate,decade,profit_per_gambler_year,active_share
0.0100,0.0000,1,65.188,0.86792
0.0100,0.0000,2,55.489,0.81665
0.0100,0.0000,3,51.459,0.78943
0.0100,0.0000,4,46.338,0.77026
0.0100,0.0000,5,52.858,0.75415
0.0100,0.0000,6,47.075,0.74011
0.0100,0.0000,7,47.989,0.73145
0.0100,0.0000,8,44.223,0.72278
0.0100,0.0000,9,42.089,0.71289
0.0100,0.0000,10,41.914,0.70532
0.0100,0.0000,11,32.872,0.70081
0.0100,0.0000,12,43.143,0.69580
0.0400,0.0000,1,213.394,0.85144
0.0400,0.0000,2,187.897,0.80872
0.0400,0.0000,3,174.995,0.77832
0.0400,0.0000,4,173.212,0.75830
0.0400,0.0000,5,170.384,0.74219
0.0400,0.0000,6,160.995,0.73108
0.0400,0.0000,7,156.672,0.72290
0.0400,0.0000,8,161.548,0.71252
0.0400,0.0000,9,159.884,0.70618
0.0400,0.0000,10,152.986,0.69995
0.0400,0.0000,11,155.390,0.69702
0.0400,0.0000,12,150.192,0.69043
0.0700,0.0000,1,359.718,0.82764
0.0700,0.0000,2,318.705,0.78638
0.0700,0.0000,3,307.867,0.75989
0.0700,0.0000,4,285.979,0.74426
0.0700,0.0000,5,276.253,0.73376
0.0700,0.0000,6,274.122,0.72168
0.0700,0.0000,7,257.227,0.71497
0.0700,0.0000,8,275.336,0.70776
0.0700,0.0000,9,260.756,0.70068
0.0700,0.0000,10,252.017,0.69556
0.0700,0.0000,11,242.026,0.69128
0.0700,0.0000,12,252.989,0.68665
0.1000,0.0000,1,481.419,0.82239
0.1000,0.0000,2,428.232,0.78064
0.1000,0.0000,3,419.509,0.75940
0.1000,0.0000,4,388.612,0.74414
0.1000,0.0000,5,380.894,0.73096
0.1000,0.0000,6,374.779,0.72290
0.1000,0.0000,7,370.315,0.71484
0.1000,0.0000,8,362.076,0.70593
0.1000,0.0000,9,357.156,0.70251
0.1000,0.0000,10,352.716,0.69678
0.1000,0.0000,11,346.232,0.69312
0.1000,0.0000,12,344.840,0.68872
0.1300,0.0000,1,599.321,0.80884
0.1300,0.0000,2,532.556,0.77246
0.1300,0.0000,3,500.429,0.75769
0.1300,0.0000,4,496.985,0.74268
0.1300,0.0000,5,468.656,0.73108
0.1300,0.0000,6,469.405,0.72046
0.1300,0.0000,7,450.517,0.71509
0.1300,0.0000,8,447.039,0.70618
0.1300,0.0000,9,445.715,0.69946
0.1300,0.0000,10,439.689,0.69421
0.1300,0.0000,11,437.005,0.69019
0.1300,0.0000,12,423.033,0.68640
0.1600,0.0000,1,716.115,0.80615
0.1600,0.0000,2,633.943,0.76843
0.1600,0.0000,3,596.455,0.75122
0.1600,0.0000,4,576.512,0.73462
0.1600,0.0000,5,556.239,0.72583
0.1600,0.0000,6,543.227,0.71570
0.1600,0.0000,7,546.103,0.71033
0.1600,0.0000,8,527.456,0.70447
0.1600,0.0000,9,525.529,0.69897
0.1600,0.0000,10,516.653,0.69067
0.1600,0.0000,11,511.154,0.68884
0.1600,0.0000,12,506.977,0.68506
0.1900,0.0000,1,797.872,0.79565
0.1900,0.0000,2,715.568,0.76208
0.1900,0.0000,3,676.429,0.74622
0.1900,0.0000,4,652.968,0.73291
0.1900,0.0000,5,629.915,0.72363
0.1900,0.0000,6,621.684,0.71167
0.1900,0.0000,7,606.420,0.70447
0.1900,0.0000,8,600.681,0.69885
0.1900,0.0000,9,585.976,0.69495
0.1900,0.0000,10,590.407,0.68640
0.1900,0.0000,11,585.733,0.68311
0.1900,0.0000,12,576.728,0.67810
0.2200,0.0000,1,899.046,0.78943
0.2200,0.0000,2,787.208,0.75928
0.2200,0.0000,3,746.797,0.74377
0.2200,0.0000,4,726.699,0.72729
0.2200,0.0000,5,702.507,0.71582
0.2200,0.0000,6,694.900,0.70728
0.2200,0.0000,7,675.133,0.70081
0.2200,0.0000,8,662.497,0.69434
0.2200,0.0000,9,652.697,0.69019
0.2200,0.0000,10,654.863,0.68579
0.2200,0.0000,11,649.733,0.68079
0.2200,0.0000,12,642.283,0.67725
0.2500,0.0000,1,983.743,0.79102
0.2500,0.0000,2,870.666,0.75330
0.2500,0.0000,3,818.880,0.73865
0.2500,0.0000,4,787.288,0.72632
0.2500,0.0000,5,761.421,0.71399
0.2500,0.0000,6,743.300,0.70654
0.2500,0.0000,7,725.782,0.70007
0.2500,0.0000,8,722.224,0.69287
0.2500,0.0000,9,719.856,0.68677
0.2500,0.0000,10,708.561,0.68225
0.2500,0.0000,11,710.113,0.67725
0.2500,0.0000,12,702.326,0.67297
0.2800,0.0000,1,1040.900,0.78369
0.2800,0.0000,2,903.583,0.75293
0.2800,0.0000,3,885.532,0.73706
0.2800,0.0000,4,862.501,0.72253
0.2800,0.0000,5,835.640,0.71057
0.2800,0.0000,6,817.895,0.70349
0.2800,0.0000,7,796.886,0.69421
0.2800,0.0000,8,777.770,0.69104
0.2800,0.0000,9,786.520,0.68457
0.2800,0.0000,10,771.853,0.67981
0.2800,0.0000,11,766.706,0.67566
0.2800,0.0000,12,763.991,0.67346
0.0100,0.0857,1,53.343,0.86938
0.0100,0.0857,2,47.564,0.81885
0.0100,0.0857,3,43.020,0.78918
0.0100,0.0857,4,52.817,0.76868
0.0100,0.0857,5,44.580,0.75073
0.0100,0.0857,6,31.784,0.73792
0.0100,0.0857,7,49.115,0.72461
0.0100,0.0857,8,46.001,0.71521
0.0100,0.0857,9,23.498,0.71106
0.0100,0.0857,10,30.357,0.70459
0.0100,0.0857,11,35.419,0.69849
0.0100,0.0857,12,35.244,0.69482
0.0400,0.0857,1,195.477,0.84668
0.0400,0.0857,2,183.298,0.80615
0.0400,0.0857,3,165.185,0.77795
0.0400,0.0857,4,164.064,0.75940
0.0400,0.0857,5,163.169,0.73987
0.0400,0.0857,6,145.289,0.72839
0.0400,0.0857,7,143.273,0.71924
0.0400,0.0857,8,140.815,0.70850
0.0400,0.0857,9,145.875,0.70337
0.0400,0.0857,10,139.278,0.69836
0.0400,0.0857,11,149.095,0.69312
0.0400,0.0857,12,138.632,0.68994
0.0700,0.0857,1,317.397,0.83044
0.0700,0.0857,2,292.781,0.79187
0.0700,0.0857,3,277.368,0.76672
0.0700,0.0857,4,259.960,0.74963
0.0700,0.0857,5,263.682,0.73730
0.0700,0.0857,6,251.962,0.72729
0.0700,0.0857,7,248.425,0.71680
0.0700,0.0857,8,239.481,0.71082
0.0700,0.0857,9,232.458,0.70398
0.0700,0.0857,10,238.280,0.69580
0.0700,0.0857,11,223.268,0.69275
0.0700,0.0857,12,234.131,0.68970
0.1000,0.0857,1,444.308,0.81970
0.1000,0.0857,2,388.561,0.78369
0.1000,0.0857,3,358.351,0.75903
0.1000,0.0857,4,365.742,0.74011
0.1000,0.0857,5,346.086,0.72742
0.1000,0.0857,6,342.417,0.71948
0.1000,0.0857,7,337.112,0.71411
0.1000,0.0857,8,324.225,0.70459
0.1000,0.0857,9,329.984,0.69971
0.1000,0.0857,10,319.724,0.69470
0.1000,0.0857,11,315.906,0.68884
0.1000,0.0857,12,321.913,0.68604
0.1300,0.0857,1,552.710,0.81372
0.1300,0.0857,2,494.898,0.77271
0.1300,0.0857,3,462.561,0.74915
0.1300,0.0857,4,444.399,0.73779
0.1300,0.0857,5,428.579,0.72693
0.1300,0.0857,6,425.797,0.71350
0.1300,0.0857,7,419.712,0.70715
0.1300,0.0857,8,401.841,0.70154
0.1300,0.0857,9,407.979,0.69519
0.1300,0.0857,10,400.683,0.69104
0.1300,0.0857,11,406.426,0.68726
0.1300,0.0857,12,386.798,0.68481
0.1600,0.0857,1,654.997,0.79993
0.1600,0.0857,2,572.638,0.76929
0.1600,0.0857,3,533.649,0.74719
0.1600,0.0857,4,521.112,0.73328
0.1600,0.0857,5,503.553,0.72156
0.1600,0.0857,6,502.006,0.71484
0.1600,0.0857,7,492.964,0.70825
0.1600,0.0857,8,483.920,0.70300
0.1600,0.0857,9,476.386,0.69592
0.1600,0.0857,10,480.664,0.69250
0.1600,0.0857,11,481.463,0.68762
0.1600,0.0857,12,464.759,0.68311
0.1900,0.0857,1,737.997,0.79468
0.1900,0.0857,2,656.304,0.76135
0.1900,0.0857,3,629.961,0.74463
0.1900,0.0857,4,600.269,0.72998
0.1900,0.0857,5,589.503,0.71863
0.1900,0.0857,6,574.585,0.70837
0.1900,0.0857,7,553.919,0.70398
0.1900,0.0857,8,559.299,0.69580
0.1900,0.0857,9,542.044,0.69165
0.1900,0.0857,10,531.596,0.68726
0.1900,0.0857,11,533.554,0.68262
0.1900,0.0857,12,529.039,0.67749
0.2200,0.0857,1,825.036,0.79260
0.2200,0.0857,2,724.478,0.75745
0.2200,0.0857,3,696.620,0.73743
0.2200,0.0857,4,667.639,0.72095
0.2200,0.0857,5,642.770,0.71033
0.2200,0.0857,6,636.402,0.70398
0.2200,0.0857,7,628.865,0.69678
0.2200,0.0857,8,621.439,0.69141
0.2200,0.0857,9,613.151,0.68689
0.2200,0.0857,10,602.396,0.68213
0.2200,0.0857,11,599.695,0.67883
0.2200,0.0857,12,596.039,0.67297
0.2500,0.0857,1,909.311,0.78687
0.2500,0.0857,2,798.049,0.75525
0.2500,0.0857,3,753.777,0.73511
0.2500,0.0857,4,729.664,0.72559
0.2500,0.0857,5,715.464,0.70984
0.2500,0.0857,6,689.224,0.70142
0.2500,0.0857,7,684.571,0.69580
0.2500,0.0857,8,682.186,0.69019
0.2500,0.0857,9,659.979,0.68445
0.2500,0.0857,10,650.491,0.67834
0.2500,0.0857,11,644.626,0.67371
0.2500,0.0857,12,649.284,0.67029
0.2800,0.0857,1,973.277,0.78003
0.2800,0.0857,2,864.980,0.75671
0.2800,0.0857,3,819.485,0.73914
0.2800,0.0857,4,786.023,0.72388
0.2800,0.0857,5,760.909,0.71338
0.2800,0.0857,6,756.307,0.70471
0.2800,0.0857,7,751.649,0.69788
0.2800,0.0857,8,738.786,0.69128
0.2800,0.0857,9,723.357,0.68713
0.2800,0.0857,10,718.571,0.68213
0.2800,0.0857,11,706.881,0.67896
0.2800,0.0857,12,714.924,0.67566
0.0100,0.1714,1,41.233,0.86560
0.0100,0.1714,2,54.958,0.81738
0.0100,0.1714,3,39.215,0.79089
0.0100,0.1714,4,40.809,0.76807
0.0100,0.1714,5,43.650,0.75342
0.0100,0.1714,6,32.089,0.73914
0.0100,0.1714,7,35.598,0.72656
0.0100,0.1714,8,38.343,0.72070
0.0100,0.1714,9,33.437,0.70996
0.0100,0.1714,10,32.513,0.70483
0.0100,0.1714,11,29.073,0.69995
0.0100,0.1714,12,34.011,0.69580
0.0400,0.1714,1,185.139,0.84412
0.0400,0.1714,2,157.645,0.80066
0.0400,0.1714,3,150.843,0.77637
0.0400,0.1714,4,143.039,0.75684
0.0400,0.1714,5,148.786,0.74133
0.0400,0.1714,6,132.016,0.72864
0.0400,0.1714,7,148.804,0.71985
0.0400,0.1714,8,127.670,0.71338
0.0400,0.1714,9,136.530,0.70667
0.0400,0.1714,10,115.711,0.70044
0.0400,0.1714,11,120.806,0.69580
0.0400,0.1714,12,124.543,0.69312
0.0700,0.1714,1,305.078,0.83008
0.0700,0.1714,2,268.781,0.78906
0.0700,0.1714,3,257.502,0.76514
0.0700,0.1714,4,226.096,0.74524
0.0700,0.1714,5,224.555,0.73462
0.0700,0.1714,6,230.932,0.72485
0.0700,0.1714,7,216.866,0.71680
0.0700,0.1714,8,221.257,0.70886
0.0700,0.1714,9,212.059,0.70447
0.0700,0.1714,10,218.533,0.70129
0.0700,0.1714,11,213.509,0.69373
0.0700,0.1714,12,202.411,0.69043
0.1000,0.1714,1,409.402,0.82471
0.1000,0.1714,2,356.446,0.78235
0.1000,0.1714,3,344.066,0.75818
0.1000,0.1714,4,319.991,0.74402
0.1000,0.1714,5,323.484,0.73120
0.1000,0.1714,6,309.470,0.72351
0.1000,0.1714,7,302.125,0.71277
0.1000,0.1714,8,287.105,0.70593
0.1000,0.1714,9,304.210,0.70105
0.1000,0.1714,10,285.468,0.69617
0.1000,0.1714,11,277.333,0.69214
0.1000,0.1714,12,289.375,0.68689
0.1300,0.1714,1,500.249,0.80774
0.1300,0.1714,2,447.105,0.77600
0.1300,0.1714,3,428.568,0.75708
0.1300,0.1714,4,409.216,0.74255
0.1300,0.1714,5,411.382,0.73083
0.1300,0.1714,6,400.003,0.72070
0.1300,0.1714,7,381.986,0.71216
0.1300,0.1714,8,380.920,0.70667
0.1300,0.1714,9,385.561,0.70044
0.1300,0.1714,10,371.176,0.69495
0.1300,0.1714,11,364.715,0.69104
0.1300,0.1714,12,365.965,0.68726
0.1600,0.1714,1,597.727,0.80322
0.1600,0.1714,2,512.462,0.76941
0.1600,0.1714,3,501.942,0.75098
0.1600,0.1714,4,473.935,0.73804
0.1600,0.1714,5,470.070,0.72620
0.1600,0.1714,6,465.813,0.71741
0.1600,0.1714,7,456.576,0.71240
0.1600,0.1714,8,445.689,0.70728
0.1600,0.1714,9,446.013,0.69873
0.1600,0.1714,10,437.377,0.69604
0.1600,0.1714,11,430.654,0.69055
0.1600,0.1714,12,433.156,0.68713
0.1900,0.1714,1,685.980,0.78870
0.1900,0.1714,2,604.140,0.76038
0.1900,0.1714,3,571.628,0.74219
0.1900,0.1714,4,574.385,0.73035
0.1900,0.1714,5,533.210,0.71924
0.1900,0.1714,6,535.522,0.70923
0.1900,0.1714,7,517.954,0.69983
0.1900,0.1714,8,503.335,0.69519
0.1900,0.1714,9,502.978,0.69092
0.1900,0.1714,10,507.131,0.68677
0.1900,0.1714,11,499.179,0.68359
0.1900,0.1714,12,487.638,0.68018
0.2200,0.1714,1,764.455,0.78784
0.2200,0.1714,2,680.008,0.76172
0.2200,0.1714,3,631.796,0.74438
0.2200,0.1714,4,610.463,0.72778
0.2200,0.1714,5,605.107,0.71790
0.2200,0.1714,6,596.911,0.70923
0.2200,0.1714,7,580.852,0.70459
0.2200,0.1714,8,575.853,0.69690
0.2200,0.1714,9,570.839,0.69165
0.2200,0.1714,10,549.385,0.68799
0.2200,0.1714,11,561.228,0.68286
0.2200,0.1714,12,551.268,0.67993
0.2500,0.1714,1,830.797,0.78601
0.2500,0.1714,2,729.966,0.75964
0.2500,0.1714,3,700.639,0.73779
0.2500,0.1714,4,673.134,0.72485
0.2500,0.1714,5,647.147,0.71472
0.2500,0.1714,6,631.797,0.71033
0.2500,0.1714,7,639.196,0.69958
0.2500,0.1714,8,626.604,0.69397
0.2500,0.1714,9,623.670,0.68921
0.2500,0.1714,10,608.991,0.68359
0.2500,0.1714,11,606.045,0.67908
0.2500,0.1714,12,589.460,0.67505
0.2800,0.1714,1,891.286,0.78174
0.2800,0.1714,2,799.598,0.75366
0.2800,0.1714,3,755.830,0.73401
0.2800,0.1714,4,731.846,0.71704
0.2800,0.1714,5,690.147,0.70642
0.2800,0.1714,6,684.321,0.69812
0.2800,0.1714,7,683.931,0.69043
0.2800,0.1714,8,660.880,0.68530
0.2800,0.1714,9,660.359,0.67944
0.2800,0.1714,10,651.577,0.67566
0.2800,0.1714,11,636.400,0.67236
0.2800,0.1714,12,646.529,0.66882
0.0100,0.2571,1,35.813,0.86169
0.0100,0.2571,2,43.120,0.81848
0.0100,0.2571,3,35.791,0.78992
0.0100,0.2571,4,49.420,0.76782
0.0100,0.2571,5,26.515,0.75232
0.0100,0.2571,6,28.025,0.73755
0.0100,0.2571,7,35.574,0.72766
0.0100,0.2571,8,37.035,0.71765
0.0100,0.2571,9,33.069,0.71204
0.0100,0.2571,10,28.476,0.70483
0.0100,0.2571,11,25.452,0.69922
0.0100,0.2571,12,28.595,0.69360
0.0400,0.2571,1,159.121,0.85181
0.0400,0.2571,2,125.649,0.80676
0.0400,0.2571,3,133.345,0.77649
0.0400,0.2571,4,138.091,0.75903
0.0400,0.2571,5,133.616,0.73938
0.0400,0.2571,6,133.187,0.73145
0.0400,0.2571,7,121.800,0.72083
0.0400,0.2571,8,116.879,0.71252
0.0400,0.2571,9,110.340,0.70728
0.0400,0.2571,10,104.614,0.70142
0.0400,0.2571,11,109.186,0.69531
0.0400,0.2571,12,107.884,0.69141
0.0700,0.2571,1,265.146,0.82935
0.0700,0.2571,2,242.222,0.79224
0.0700,0.2571,3,223.790,0.76257
0.0700,0.2571,4,221.103,0.74646
0.0700,0.2571,5,214.897,0.73560
0.0700,0.2571,6,195.682,0.72656
0.0700,0.2571,7,195.484,0.71765
0.0700,0.2571,8,202.175,0.70959
0.0700,0.2571,9,194.102,0.70288
0.0700,0.2571,10,195.645,0.70007
0.0700,0.2571,11,187.269,0.69507
0.0700,0.2571,12,197.995,0.69043
0.1000,0.2571,1,367.454,0.81824
0.1000,0.2571,2,327.160,0.77686
0.1000,0.2571,3,315.001,0.75635
0.1000,0.2571,4,283.712,0.74011
0.1000,0.2571,5,281.630,0.73108
0.1000,0.2571,6,282.530,0.71777
0.1000,0.2571,7,273.231,0.71130
0.1000,0.2571,8,271.026,0.70496
0.1000,0.2571,9,275.738,0.69849
0.1000,0.2571,10,254.937,0.69617
0.1000,0.2571,11,263.388,0.69189
0.1000,0.2571,12,265.433,0.68616
0.1300,0.2571,1,458.215,0.81055
0.1300,0.2571,2,417.819,0.77722
