house_edge,max_bet,comp_rate,jackpot_size,volatility,profit_per_gambler_year,ruin_rate
0.0175532,39.2302,0.510706,1462.08,6.82916,41.8528,0.071570
0.0326388,90.9923,0.238529,244.184,10.9663,84.4578,0.094210
0.22796,119.654,0.434407,9284.09,5.59988,543.3720,0.075975
0.060935,13.0619,0.542092,6001.75,4.29755,183.5390,0.046309
0.162311,169.128,0.0193921,705.069,4.98103,708.0464,0.077806
0.127713,74.4374,0.0563717,148.695,2.61164,824.1800,0.083046
0.267909,7.09677,0.251481,3559.02,9.18312,726.0857,0.066036
0.248662,9.24016,0.553777,17592.1,6.11306,495.1192,0.063747
0.0378283,11.5838,0.371852,3110.04,11.923,84.4975,0.081462
0.223169,194.259,0.175093,563.269,9.03502,611.5402,0.091793
0.205659,15.5205,0.115313,15804.1,9.63423,639.5911,0.080874
0.0970073,5.83544,0.212745,4669.79,3.04356,409.1311,0.015926
0.1099,67.445,0.397598,171.563,11.1688,222.1842,0.093593
0.201461,57.9876,0.147929,2545.41,2.12507,1045.2260,0.090129
0.187284,20.2232,0.150295,1407.59,9.96787,546.6148,0.089860
0.169978,19.5774,0.327418,990.666,4.78835,586.7046,0.074833
0.144732,9.47708,0.0948165,105.097,7.50625,554.9411,0.068864
0.0529381,30.7426,0.461693,815.773,6.30127,134.1917,0.075157
0.0766382,93.1,0.284486,6676.65,10.697,202.5038,0.087142
0.135199,34.8809,0.484305,346.505,8.31061,268.9583,0.089982
0.0885039,25.4933,0.316911,2183.65,7.18346,264.3964,0.080542
0.297015,5.73933,0.578419,222.475,3.68153,608.2598,0.034692
0.263353,45.0359,0.0455307,11155.2,7.88817,833.8551,0.080210
0.28508,138.094,0.413808,392.378,3.66207,747.4878,0.077169
0.279983,35.9682,0.054604,961.26,2,1315.8363,0.085925
0.162763,5.24874,0.0191751,6159.37,2.5483,808.5839,0.021157
0.28615,7.34574,0.0552903,1382.17,2.27395,1301.6990,0.055516
0.281413,26.7877,0.0680657,729.108,2,1315.4619,0.083858
0.3,18.0713,0,117.312,2,1453.2791,0.076876
0.15574,5,0.094693,3589.34,2.49773,705.5564,0.016441
0.268753,5,0,157.928,2,1193.5262,0.032279
0.3,10.9868,0,100,2,1462.3495,0.068256
0.3,15.0489,0,1070.27,2,1422.2946,0.075224
0.167781,5,0.0323523,596.604,2,820.9819,0.016760
0.3,5.92845,0,208.988,2,1337.5566,0.044631
0.3,14.8461,0.00134664,213.224,2,1450.1886,0.075765
0.3,28.0042,0,206.252,2,1433.2812,0.082975
0.183551,5,0.0200866,380.848,2,893.1970,0.019588
0.3,5.75457,0,5066.55,2.31627,1303.8568,0.045219
0.3,26.0232,0.00649298,111.944,2,1435.8666,0.080003
0.3,118.115,0,100,2,1420.2880,0.087075
0.189666,5,0,100,2,941.4983,0.019503
0.3,6.85921,0,100,3.4053,1316.7728,0.052861
0.3,12.845,0,100,3.15824,1381.1110,0.073580
0.3,196.458,0,20000,2,1402.0264,0.084086
0.221433,5,0.000977522,13646.3,4.84043,908.0110,0.036233
0.29949,200,0.000484399,20000,2.41667,1268.1247,0.075224
0.3,200,0,20000,2,1397.9523,0.084843
0.3,45.5051,0.00252578,348.451,2,1406.2955,0.087459
0.218057,5,0.150455,100,2,909.9906,0.019881
0.3,6.28038,0,1453.52,2,1337.6437,0.048861
0.3,32.4248,0,340.139,2,1412.3704,0.084224
0.3,19.2855,0.00367556,16488.5,2,1428.0670,0.077431
0.201476,5,0.00229943,186.014,2.52182,961.7009,0.024141
0.3,6.15605,0.0113338,1247.61,2,1323.0064,0.047257
0.3,25.5265,0,20000,2,1407.6472,0.079211
0.298648,184.733,0,20000,12,937.4063,0.081716
0.3,5,0,100,12,962.7666,0.055705
0.3,5,0,3248.92,12,949.3673,0.056767
0.299563,200,0.474349,17309.2,2,885.2513,0.082609
0.3,200,0,120.409,2,1409.1808,0.087388
0.216272,5,0.164966,16999.2,2,875.0026,0.021145
0.3,6.40516,0,1280.98,2,1343.4627,0.049284
0.3,22.5393,0,101.063,2,1450.6435,0.080204
0.01,200,0.0455814,13473.7,2,64.7812,0.027852
0.3,5,0.44712,18262.7,2,789.6486,0.023566
0.3,6.53079,0.00730449,242.216,2,1361.1054,0.049969
0.01,200,0,20000,2,62.2479,0.024670
0.3,66.8544,0.592886,20000,12,449.9843,0.080088
0.3,5,0.115448,235.084,5.61421,992.9298,0.044680
0.3,5.99206,0,100,6.01506,1113.5314,0.054840
0.3,35.6263,0.6,20000,12,443.3807,0.080003
