ruin_rate,profit_per_gambler_year,house_edge,max_bet,comp_rate,jackpot_size,volatility
0.015926,409.1311,0.0970073,5.83544,0.212745,4669.79,3.04356
0.016441,705.5564,0.15574,5,0.094693,3589.34,2.49773
0.016760,820.9819,0.167781,5,0.0323523,596.604,2
0.019503,941.4983,0.189666,5,0,100,2
0.024141,961.7009,0.201476,5,0.00229943,186.014,2.52182
0.032279,1193.5262,0.268753,5,0,157.928,2
0.044631,1337.5566,0.3,5.92845,0,208.988,2
0.048861,1337.6437,0.3,6.28038,0,1453.52,2
0.049284,1343.4627,0.3,6.40516,0,1280.98,2
0.049969,1361.1054,0.3,6.53079,0.00730449,242.216,2
0.068256,1462.3495,0.3,10.9868,0,100,2
